png_path,tif_source,label_str,label_int,split,tile_row,tile_col,centroid_lon,centroid_lat
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0000_c0000_lat-4.50155_lon-58.33291_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,sem_garimpo,0,train,0,0,-58.33291145805683,-4.501547720251334
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0000_c0001_lat-4.50155_lon-58.32141_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,sem_garimpo,0,train,0,1,-58.3214130224201,-4.501547720251334
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0000_c0002_lat-4.50155_lon-58.30991_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,sem_garimpo,0,train,0,2,-58.30991458678337,-4.501547720251334
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0000_c0003_lat-4.50155_lon-58.29842_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,sem_garimpo,0,train,0,3,-58.29841615114664,-4.501547720251334
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0000_c0004_lat-4.50155_lon-58.28692_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,sem_garimpo,0,train,0,4,-58.28691771550992,-4.501547720251334
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0000_c0005_lat-4.50155_lon-58.27542_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,sem_garimpo,0,train,0,5,-58.27541927987318,-4.501547720251334
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0000_c0006_lat-4.50155_lon-58.26392_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,sem_garimpo,0,train,0,6,-58.26392084423645,-4.501547720251334
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0000_c0007_lat-4.50155_lon-58.25242_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,sem_garimpo,0,train,0,7,-58.25242240859973,-4.501547720251334
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0000_c0008_lat-4.50155_lon-58.24092_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,sem_garimpo,0,train,0,8,-58.24092397296299,-4.501547720251334
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0000_c0009_lat-4.50155_lon-58.22943_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,sem_garimpo,0,train,0,9,-58.22942553732626,-4.501547720251334
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0000_c0010_lat-4.50155_lon-58.21793_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,sem_garimpo,0,train,0,10,-58.21792710168953,-4.501547720251334
com_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0000_c0011_lat-4.50155_lon-58.20643_com_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,com_garimpo,1,train,0,11,-58.2064286660528,-4.501547720251334
com_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0000_c0012_lat-4.50155_lon-58.19493_com_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,com_garimpo,1,train,0,12,-58.19493023041608,-4.501547720251334
com_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0000_c0013_lat-4.50155_lon-58.18343_com_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,com_garimpo,1,train,0,13,-58.18343179477934,-4.501547720251334
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0000_c0014_lat-4.50155_lon-58.17193_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,sem_garimpo,0,train,0,14,-58.17193335914261,-4.501547720251334
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0000_c0015_lat-4.50155_lon-58.16043_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,sem_garimpo,0,train,0,15,-58.16043492350589,-4.501547720251334
